date,close
1-Jan-18,11
1-Feb-18,3
1-Mar-18,31
1-Apr-18,21
1-May-18,9
1-Jun-18,10
1-Jul-18,12
1-Aug-18,6
1-Sep-18,11
1-Oct-18,8
1-Nov-18,6
1-Dec-18,26
