date,close
1-Jan-18,5104
1-Feb-18,5552
1-Mar-18,6451
1-Apr-18,5503
1-May-18,5798
1-Jun-18,4950
1-Jul-18,5245
1-Aug-18,5123
1-Sep-18,4761
1-Oct-18,5810
1-Nov-18,5612
1-Dec-18,5431
